"ground_truth","llm_only_prediction","llm_kg_prediction"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","True"
"True","False","False"
"False","False","False"
"False","False","False"
"True","True","True"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"True","True","True"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","Unknown","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","True","True"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
