ground_truth,rag_prediction,llm_only_prediction
left,right,center
center,unknown,center
right,right,right
right,right,right
left,unknown,left
left,center,center
left,unknown,left
left,left,left
right,right,right
right,unknown,center
left,unknown,center
left,left,left
left,unknown,left
left,unknown,left
left,unknown,center
left,unknown,center
left,unknown,left
left,center,left
left,right,center
right,right,right
right,left,right
left,unknown,left
left,unknown,left
right,unknown,right
left,unknown,center
left,unknown,left
left,left,left
left,unknown,center
left,right,center
right,unknown,right
center,unknown,center
center,unknown,center
right,unknown,right
left,left,left
left,left,left
right,unknown,right
center,unknown,
right,unknown,right
center,unknown,center
left,unknown,center
right,unknown,center
right,unknown,right
left,unknown,center
left,center,center
left,right,center
