"ground_truth","rag_prediction","llm_kg_prediction"
"False","False","False"
"True","False","False"
"False","False","False"
"False","True","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","Unknown","False"
"True","True","True"
"False","False","False"
"False","True","False"
"False","False","False"
"True","Unknown","True"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"False","True","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"False","Unknown","False"
"False","Unknown","False"
"False","Unknown","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"False","True","False"
"False","Unknown","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"Misleading","True","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"False","False","True"
"True","False","False"
"False","False","False"
"False","False","False"
"True","True","True"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","True","False"
"True","False","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","False","False"
"False","True","False"
"False","False","False"
"True","False","True"
"False","False","False"
"False","Unknown","False"
"False","Unknown","False"
"True","False","False"
"False","Unknown","False"
"Misleading","True","False"
"False","Unknown","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","Unknown","True"
"False","False","False"
"False","Unknown","False"
"False","Unknown","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"Misleading","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","Unknown","False"
"True","False","True"
"False","False","False"
"False","False","False"
"True","Unknown","False"
"False","False","False"
"False","False","False"
"False","False","False"
"False","False","False"
"True","False","True"
"False","True","False"
"False","False","False"
"False","Unknown","False"
"False","Unknown","False"
"False","False","False"
"False","Unknown","False"
"True","False","True"
"False","False","False"
