author,statement,source,date,target
Loreben Tuquero,"“DOGE discovers Louisiana man with 34 different names, addresses, and social security numbers. He was collecting $1,168,646 in (Social Security) per year.”",Facebook posts,"February 28, 2025",false
Jeff Cercone,“The Texas measles outbreak is pure propaganda” because media outlets used stock images.,Threads posts,"February 28, 2025",pants-fire
Sara Swann,"Maine Gov. Janet Mills said, “If (President) Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government.”",Social Media,"February 28, 2025",false
Loreben Tuquero,"A measles outbreak in Gaines County, Texas, was caused by “a public health initiative” to “distribute free measles vaccines.”",Facebook posts,"February 28, 2025",false
Hope Karnopp,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,Joel Kitchens,"February 28, 2025",true
Jeff Cercone,"Zero votes for 2024 Democratic presidential nominee Kamala Harris in Rockland County, New York, precinct proves Elon Musk hacked 2024 presidential election.",Social Media,"February 26, 2025",false
Madison Czopek,"Former President Joe Biden “fired” 14,000 Keystone XL pipeline workers “​​on day one” of his administration.",Facebook posts,"February 26, 2025",barely-true
Louis Jacobson,“We've never audited government for 100 years.”,Kevin O'Leary,"February 26, 2025",pants-fire
Ciara O'Rourke,"U.S. Secretary of Health and Human Services Robert F. Kennedy Jr. wrote on X, “In my first 6 months as HHS secretary … I’ll ban chemtrails.”",Viral image,"February 26, 2025",false
Ciara O'Rourke,“Breaking News: Rep. Ilhan Omar has been removed from the House Foreign Affairs Committee.”,Instagram posts,"February 26, 2025",false
Maria Briceño,“La presidenta de México Claudia Sheinbaum PROHIBE la entrada al nuevo IPHONE de la empresa tecnológica.”,Facebook posts,"February 26, 2025",false
Sofia Ahmed,Photos show Elon Musk in a fight during a science conference.,Facebook posts,"February 26, 2025",false
Caleb McCullough,“Stacey Abrams stole $2 BILLION from taxpayers.”,Facebook posts,"February 26, 2025",false
Caleb McCullough,"“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""",Pete Buttigieg,"February 26, 2025",barely-true
Sara Swann,"It’s “official” that President Donald Trump is signing an “order from Elon Musk giving taxpayers who have filed their 2024 tax returns a stimulus check for $5,000.”",Facebook posts,"February 26, 2025",false
Louis Jacobson,“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,Patty Murray,"February 25, 2025",half-true
Maria Briceño,“Noticia de Ultima Hora! Su Santidad el Papa Francisco ha fallecido” el 24 de febrero del 2025.,Facebook posts,"February 25, 2025",false
Ciara O'Rourke,“Malia Obama received $2.2 million in funds from USAID.”,Instagram posts,"February 25, 2025",false
Ciara O'Rourke,"Pope Francis died as of Feb. 23, 2025.",Facebook posts,"February 25, 2025",false
Claire Cranford,Ukraine President Volodymyr Zelenskyy “blocked Truth Social in Ukraine.”,Social Media,"February 25, 2025",false
Madeline Heim,The Chicago Cubs owner is bankrolling Brad Schimel.,Social Media,"February 25, 2025",mostly-true
Sofia Ahmed,Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,Threads posts,"February 24, 2025",false
Jeff Cercone,"""The Philadelphia Eagles have declined their invitation to the White House,” as of Feb. 24.",Social Media,"February 24, 2025",false
Jeff Cercone,Elon Musk “contracted a helicopter and the first DOGE payments are being” dispersed in California.,Facebook posts,"February 24, 2025",pants-fire
Sofia Ahmed,“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”,Instagram posts,"February 21, 2025",false
Ciara O'Rourke,"Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”",Viral image,"February 21, 2025",false
Ciara O'Rourke,“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”,Facebook posts,"February 21, 2025",pants-fire
Maria Ramirez,President Joe Biden’s immigration policy was “a giant voter importation scam.”,Elon Musk,"• February 21,",pants-fire
Maria Briceño,El congresista Adriano Espaillat muestra “La nueva bandera que están promoviendo para República Dominicana que se va a llamar 'DominicoHaiti'”.,Facebook posts,"February 21, 2025",false
Sara Swann,“US Debt Clock” numbers prove “DOGE has saved taxpayers $64 billion dollars in just 17 days.”,Social Media,"February 21, 2025",false
Jeff Cercone,"Video shows White House Press Secretary Karoline Leavitt saying Americans can get $4,800 subsidy because Department of Government Efficiency cuts found “extra money.”",Facebook posts,"February 21, 2025",false
Ciara O'Rourke,"Says Barron Trump posted on X, “We’re on the brink of uncovering a dark legacy in this country that’s been hidden for far too long.”",Instagram posts,"February 21, 2025",false
Ciara O'Rourke,"Says Elon Musk said on X, “Spoiled crybabies across the country are protesting against America’s golden age. Brats like them should go to prison.”",Viral image,"February 21, 2025",false
Ciara O'Rourke,“The very LIBERAL 9th Circuit Court has ruled that 84 of Biden's last-minute pardons are unconstitutional.”,Facebook posts,"February 21, 2025",false
Ciara O'Rourke,Video shows Barron Trump singing on “America’s Got Talent.”,Facebook posts,"February 21, 2025",false
Grace Abels,“You either have XX or XY chromosomes. Those are the options.”,Nancy Mace,"February 21, 2025",false
Sofia Ahmed,"A photo shows Jonathan Simpson, the pilot of “Delta’s crash in Toronto, Canada.”",Threads posts,"February 20, 2025",pants-fire
Kwasi Gyamfi,“Elon Musk just ordered all federal workers to be tested for drugs and those that fail have 30 days to retest clean or be fired.”,Threads posts,"• February 20,",false
Claire Cranford,Volodymyr Zelenskyy “started” the war in Ukraine with Russia.,Donald Trump,"February 19, 2025",pants-fire
Jeff Cercone,“Barack and Michelle Obama locked in bombshell divorce of the century.”,Facebook posts,"February 19, 2025",false
Sofia Ahmed,“An ICE minivan was reportedly set on fire in Philadelphia.”,Social Media,"February 19, 2025",false
Sara Swann,"Mexican President Claudia Sheinbaum said, “I told President (Donald) Trump the best way to make rapists and criminals feel unwelcome in the U.S. is for their citizens to stop electing them.”",Facebook posts,"February 19, 2025",false
Claire Cranford,Michael Jordan said that “any athlete who kneels for our national anthem should lose their medal.”,Facebook posts,"February 19, 2025",false
Sofia Ahmed,Video shows X owner Elon Musk promoted a “bedtime trick” to cure diabetes.,Facebook posts,"February 19, 2025",false
Hope Karnopp,Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,Susan Crawford,"February 19, 2025",true
Kwasi Gyamfi,“The NFL admits to canceling Elon's DOGE Super Bowl ads.”,Threads posts,"• February 18,",false
Sofia Ahmed,“DOGE subcommittee discovered $2.7 trillion in improper” Medicaid and Medicare payments to people overseas.,Social Media,"February 18, 2025",false
Sara Swann,"Rep. Nancy Pelosi has a $223,000 salary and a $202 million net worth. Sen. Mitch McConnell has a $200,000 salary and a $95 million net worth. Sen. Chuck Schumer has a $210,000 salary and a $75 million net worth. Sen. Elizabeth Warren has a $285,000 salary and a $67 million net worth.",X posts,"February 18, 2025",barely-true
Caleb McCullough,"The federal workforce grew from 2.1 to 3 million under President Joe Biden, “a 46% increase since Biden took office.”",X posts,"February 18, 2025",false
Grace Abels,“Elon Musk announced that he will not sell Tesla Cybertruck to anyone belonging to the ‘pride’ community.”,Facebook posts,"February 17, 2025",false
Loreben Tuquero,"“Mel Gibson passes on $100 million Netflix deal to work with Robert De Niro, declares: ‘Keep that woke clown away from me.’”",Facebook posts,"February 17, 2025",false
Caleb McCullough,"Under the SAVE Act, “if you are a woman that has changed your name from your birth certificate, let’s say through marriage … you are no longer eligible to vote.”",TikTok posts,"February 17, 2025",barely-true
Maria Ramirez,“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”,Elon Musk,"• February 14,",false
Sofia Ahmed,An episode of “The Simpsons” showed a President Donald Trump-like character in a coffin and predicted Feb. 14 would be the “day everything changes.”,Facebook posts,"February 14, 2025",pants-fire
Loreben Tuquero,Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,Mario Nawfal,"February 14, 2025",false
