true_bias,predicted_bias
False,False
,False
True,False
False,False
False,True
False,Unknown
False,False
False,False
False,False
False,Unknown
False,False
True,Unknown
False,False
False,False
True,True
False,False
False,Unknown
False,False
True,Unknown
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
True,Unknown
False,False
False,False
False,Unknown
False,False
False,Unknown
False,Unknown
False,Unknown
False,False
False,Unknown
True,False
False,False
False,Unknown
False,Unknown
False,False
True,Unknown
False,False
False,False
False,Unknown
,False
True,False
False,False
Misleading,True
False,False
False,False
True,Unknown
False,False
False,False
False,False
False,False
False,False
False,False
False,Unknown
,False
False,Unknown
True,False
False,False
False,False
True,False
False,False
False,False
True,True
False,False
False,False
False,Unknown
True,True
False,False
True,Unknown
False,False
False,False
False,False
False,False
False,Unknown
False,False
False,Unknown
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,Unknown
False,False
False,False
False,False
,Unknown
False,False
False,False
True,Unknown
False,False
False,False
False,False
True,Unknown
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
True,Unknown
False,False
False,False
False,False
False,False
True,False
False,False
Misleading,False
False,False
,False
True,False
,False
False,False
False,False
False,False
False,False
False,False
,False
False,False
False,False
True,Unknown
False,False
False,False
False,False
False,False
True,False
False,False
False,Unknown
False,False
False,False
True,False
False,Unknown
False,False
False,False
False,False
False,False
False,False
,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,True
True,False
False,False
True,False
False,False
False,False
False,True
False,False
True,False
False,False
,False
False,False
False,Unknown
,False
True,False
False,False
,False
Misleading,True
False,Unknown
True,Unknown
False,False
,False
False,False
False,False
True,Unknown
False,False
False,Unknown
False,False
True,False
False,False
False,False
False,False
False,Unknown
False,Unknown
False,False
True,False
False,False
,False
False,False
False,False
Misleading,False
False,False
False,False
False,False
False,Unknown
True,False
,False
,False
False,False
False,False
True,False
False,False
False,Unknown
False,False
False,False
True,False
False,True
False,False
False,False
False,False
False,False
False,Unknown
True,False
False,False
