true_bias,predicted_bias
left,right
center,unknown
right,right
right,right
left,unknown
left,center
left,unknown
left,left
right,right
right,unknown
left,unknown
left,left
left,unknown
left,unknown
left,unknown
left,unknown
left,unknown
left,center
left,right
right,right
right,left
left,unknown
left,unknown
right,unknown
left,unknown
left,unknown
left,left
left,unknown
left,right
right,unknown
center,unknown
center,unknown
right,unknown
left,left
left,left
right,unknown
center,unknown
right,unknown
center,unknown
left,unknown
right,unknown
right,unknown
left,unknown
left,center
left,right
